CHAMP_DUOS_BLUE,"Assassin, Fighter-Assassin, Fighter","Assassin, Fighter-Assassin, Mage","Assassin, Fighter-Fighter","Assassin, Fighter-Fighter, Assassin","Assassin, Fighter-Fighter, Mage","Assassin, Fighter-Fighter, Marksman","Assassin, Fighter-Fighter, Support","Assassin, Fighter-Fighter, Tank","Assassin, Fighter-Mage","Assassin, Fighter-Mage, Assassin","Assassin, Fighter-Mage, Fighter","Assassin, Fighter-Mage, Marksman","Assassin, Fighter-Mage, Support","Assassin, Fighter-Mage, Tank","Assassin, Fighter-Marksman","Assassin, Fighter-Marksman, Assassin","Assassin, Fighter-Marksman, Fighter","Assassin, Fighter-Marksman, Mage","Assassin, Fighter-Support","Assassin, Fighter-Support, Fighter","Assassin, Fighter-Support, Mage","Assassin, Fighter-Support, Tank","Assassin, Fighter-Tank","Assassin, Fighter-Tank, Fighter","Assassin, Fighter-Tank, Mage","Assassin, Fighter-Tank, Support","Assassin, Mage-Assassin, Fighter","Assassin, Mage-Assassin, Mage","Assassin, Mage-Fighter","Assassin, Mage-Fighter, Assassin","Assassin, Mage-Fighter, Mage","Assassin, Mage-Fighter, Tank","Assassin, Mage-Mage","Assassin, Mage-Mage, Assassin","Assassin, Mage-Mage, Fighter","Assassin, Mage-Mage, Marksman","Assassin, Mage-Mage, Support","Assassin, Mage-Mage, Tank","Assassin, Mage-Marksman","Assassin, Mage-Marksman, Mage","Assassin, Mage-Support, Fighter","Assassin, Mage-Support, Mage","Assassin, Mage-Support, Tank","Assassin, Mage-Tank, Fighter","Assassin, Mage-Tank, Support","Assassin-Assassin, Fighter",Assassin-Fighter,"Assassin-Fighter, Assassin","Assassin-Mage, Support","Assassin-Support, Mage","Fighter, Assassin-Assassin, Fighter","Fighter, Assassin-Assassin, Mage","Fighter, Assassin-Fighter","Fighter, Assassin-Fighter, Assassin","Fighter, Assassin-Fighter, Mage","Fighter, Assassin-Fighter, Marksman","Fighter, Assassin-Fighter, Support","Fighter, Assassin-Fighter, Tank","Fighter, Assassin-Mage","Fighter, Assassin-Mage, Assassin","Fighter, Assassin-Mage, Fighter","Fighter, Assassin-Mage, Marksman","Fighter, Assassin-Mage, Support","Fighter, Assassin-Mage, Tank","Fighter, Assassin-Marksman","Fighter, Assassin-Marksman, Mage","Fighter, Assassin-Support","Fighter, Assassin-Support, Fighter","Fighter, Assassin-Support, Mage","Fighter, Assassin-Support, Tank","Fighter, Assassin-Tank","Fighter, Assassin-Tank, Fighter","Fighter, Assassin-Tank, Mage","Fighter, Assassin-Tank, Support","Fighter, Mage-Assassin, Fighter","Fighter, Mage-Assassin, Mage","Fighter, Mage-Fighter","Fighter, Mage-Fighter, Assassin","Fighter, Mage-Fighter, Mage","Fighter, Mage-Fighter, Marksman","Fighter, Mage-Fighter, Tank","Fighter, Mage-Mage","Fighter, Mage-Mage, Assassin","Fighter, Mage-Mage, Fighter","Fighter, Mage-Mage, Marksman","Fighter, Mage-Mage, Support","Fighter, Mage-Mage, Tank","Fighter, Mage-Marksman","Fighter, Mage-Marksman, Assassin","Fighter, Mage-Marksman, Fighter","Fighter, Mage-Marksman, Mage","Fighter, Mage-Support","Fighter, Mage-Support, Fighter","Fighter, Mage-Support, Mage","Fighter, Mage-Support, Tank","Fighter, Mage-Tank","Fighter, Mage-Tank, Fighter","Fighter, Mage-Tank, Mage","Fighter, Mage-Tank, Support","Fighter, Marksman-Assassin, Fighter","Fighter, Marksman-Fighter","Fighter, Marksman-Fighter, Assassin","Fighter, Marksman-Fighter, Mage","Fighter, Marksman-Fighter, Tank","Fighter, Marksman-Mage","Fighter, Marksman-Mage, Fighter","Fighter, Marksman-Mage, Support","Fighter, Marksman-Marksman","Fighter, Marksman-Support, Fighter","Fighter, Marksman-Support, Mage","Fighter, Marksman-Support, Tank","Fighter, Marksman-Tank, Fighter","Fighter, Marksman-Tank, Mage","Fighter, Marksman-Tank, Support","Fighter, Support-Assassin, Fighter","Fighter, Support-Fighter","Fighter, Support-Fighter, Assassin","Fighter, Support-Fighter, Mage","Fighter, Support-Mage, Fighter","Fighter, Tank-Assassin, Fighter","Fighter, Tank-Assassin, Mage","Fighter, Tank-Fighter","Fighter, Tank-Fighter, Assassin","Fighter, Tank-Fighter, Mage","Fighter, Tank-Fighter, Marksman","Fighter, Tank-Fighter, Tank","Fighter, Tank-Mage","Fighter, Tank-Mage, Assassin","Fighter, Tank-Mage, Fighter","Fighter, Tank-Mage, Marksman","Fighter, Tank-Mage, Support","Fighter, Tank-Mage, Tank","Fighter, Tank-Marksman","Fighter, Tank-Marksman, Mage","Fighter, Tank-Support","Fighter, Tank-Support, Fighter","Fighter, Tank-Support, Mage","Fighter, Tank-Support, Tank","Fighter, Tank-Tank","Fighter, Tank-Tank, Fighter","Fighter, Tank-Tank, Mage","Fighter, Tank-Tank, Support","Fighter-Assassin, Fighter","Fighter-Assassin, Mage",Fighter-Fighter,"Fighter-Fighter, Assassin","Fighter-Fighter, Mage","Fighter-Fighter, Marksman","Fighter-Fighter, Tank",Fighter-Mage,"Fighter-Mage, Assassin","Fighter-Mage, Fighter","Fighter-Mage, Marksman","Fighter-Mage, Support","Fighter-Mage, Tank",Fighter-Marksman,"Fighter-Marksman, Mage",Fighter-Support,"Fighter-Support, Fighter","Fighter-Support, Mage","Fighter-Support, Tank",Fighter-Tank,"Fighter-Tank, Fighter","Fighter-Tank, Mage","Fighter-Tank, Support","Mage, Assassin-Mage","Mage, Assassin-Mage, Marksman","Mage, Assassin-Mage, Support","Mage, Assassin-Marksman","Mage, Assassin-Support, Mage","Mage, Fighter-Assassin, Fighter","Mage, Fighter-Assassin, Mage","Mage, Fighter-Fighter","Mage, Fighter-Fighter, Assassin","Mage, Fighter-Fighter, Mage","Mage, Fighter-Fighter, Marksman","Mage, Fighter-Fighter, Support","Mage, Fighter-Fighter, Tank","Mage, Fighter-Mage","Mage, Fighter-Mage, Assassin","Mage, Fighter-Mage, Fighter","Mage, Fighter-Mage, Marksman","Mage, Fighter-Mage, Support","Mage, Fighter-Mage, Tank","Mage, Fighter-Marksman","Mage, Fighter-Marksman, Assassin","Mage, Fighter-Marksman, Fighter","Mage, Fighter-Marksman, Mage","Mage, Fighter-Support","Mage, Fighter-Support, Fighter","Mage, Fighter-Support, Mage","Mage, Fighter-Support, Tank","Mage, Fighter-Tank","Mage, Fighter-Tank, Fighter","Mage, Fighter-Tank, Mage","Mage, Fighter-Tank, Support","Mage, Marksman-Assassin, Fighter","Mage, Marksman-Assassin, Mage","Mage, Marksman-Fighter","Mage, Marksman-Fighter, Assassin","Mage, Marksman-Fighter, Mage","Mage, Marksman-Fighter, Tank","Mage, Marksman-Mage, Fighter","Mage, Marksman-Mage, Support","Mage, Marksman-Marksman","Mage, Marksman-Support, Fighter","Mage, Marksman-Support, Mage","Mage, Marksman-Support, Tank","Mage, Marksman-Tank, Fighter","Mage, Support-Assassin, Fighter","Mage, Support-Fighter","Mage, Support-Fighter, Assassin","Mage, Support-Fighter, Tank","Mage, Support-Mage","Mage, Support-Mage, Assassin","Mage, Support-Mage, Fighter","Mage, Support-Mage, Support","Mage, Support-Marksman","Mage, Support-Support, Mage","Mage, Support-Tank, Fighter","Mage, Tank-Assassin, Fighter","Mage, Tank-Fighter","Mage, Tank-Fighter, Assassin","Mage, Tank-Fighter, Mage","Mage, Tank-Fighter, Tank","Mage, Tank-Mage, Fighter","Mage, Tank-Marksman","Mage, Tank-Tank, Fighter","Mage-Assassin, Fighter",Mage-Fighter,"Mage-Fighter, Assassin","Mage-Fighter, Mage","Mage-Fighter, Tank","Mage-Mage, Assassin","Mage-Mage, Fighter","Mage-Mage, Support",Mage-Marksman,"Mage-Marksman, Assassin","Mage-Marksman, Support","Mage-Support, Mage","Mage-Support, Tank","Mage-Tank, Fighter","Mage-Tank, Mage","Marksman, Assassin-Assassin, Fighter","Marksman, Assassin-Fighter","Marksman, Assassin-Fighter, Mage","Marksman, Assassin-Fighter, Tank","Marksman, Assassin-Mage","Marksman, Assassin-Mage, Assassin","Marksman, Assassin-Mage, Fighter","Marksman, Assassin-Mage, Marksman","Marksman, Assassin-Mage, Support","Marksman, Assassin-Marksman","Marksman, Assassin-Support","Marksman, Assassin-Support, Fighter","Marksman, Assassin-Support, Mage","Marksman, Assassin-Support, Tank","Marksman, Assassin-Tank","Marksman, Assassin-Tank, Fighter","Marksman, Assassin-Tank, Mage","Marksman, Assassin-Tank, Support","Marksman, Fighter-Assassin, Fighter","Marksman, Fighter-Assassin, Mage","Marksman, Fighter-Fighter","Marksman, Fighter-Fighter, Assassin","Marksman, Fighter-Fighter, Mage","Marksman, Fighter-Fighter, Tank","Marksman, Fighter-Mage, Fighter","Marksman, Fighter-Marksman","Marksman, Fighter-Support, Mage","Marksman, Fighter-Support, Tank","Marksman, Fighter-Tank, Fighter","Marksman, Fighter-Tank, Support","Marksman, Mage-Fighter, Mage","Marksman, Mage-Fighter, Tank","Marksman, Mage-Mage","Marksman, Mage-Mage, Assassin","Marksman, Mage-Mage, Fighter","Marksman, Mage-Mage, Marksman","Marksman, Mage-Mage, Support","Marksman, Mage-Marksman","Marksman, Mage-Support","Marksman, Mage-Support, Fighter","Marksman, Mage-Support, Mage","Marksman, Mage-Support, Tank","Marksman, Mage-Tank","Marksman, Mage-Tank, Fighter","Marksman, Mage-Tank, Mage","Marksman, Mage-Tank, Support","Marksman, Support-Fighter, Mage","Marksman, Support-Fighter, Tank","Marksman, Support-Mage","Marksman, Support-Mage, Assassin","Marksman, Support-Mage, Support","Marksman, Support-Marksman","Marksman, Support-Support","Marksman, Support-Support, Fighter","Marksman, Support-Support, Mage","Marksman, Support-Support, Tank","Marksman, Support-Tank","Marksman, Support-Tank, Fighter","Marksman, Support-Tank, Mage","Marksman, Support-Tank, Support","Marksman-Assassin, Fighter","Marksman-Assassin, Mage",Marksman-Fighter,"Marksman-Fighter, Assassin","Marksman-Fighter, Mage","Marksman-Fighter, Marksman","Marksman-Fighter, Support","Marksman-Fighter, Tank",Marksman-Mage,"Marksman-Mage, Assassin","Marksman-Mage, Fighter","Marksman-Mage, Marksman","Marksman-Mage, Support","Marksman-Mage, Tank",Marksman-Marksman,"Marksman-Marksman, Assassin","Marksman-Marksman, Fighter","Marksman-Marksman, Mage",Marksman-Support,"Marksman-Support, Fighter","Marksman-Support, Mage","Marksman-Support, Tank",Marksman-Tank,"Marksman-Tank, Fighter","Marksman-Tank, Mage","Marksman-Tank, Support","Support, Fighter-Mage","Support, Mage-Assassin, Fighter","Support, Mage-Assassin, Mage","Support, Mage-Fighter","Support, Mage-Fighter, Assassin","Support, Mage-Fighter, Mage","Support, Mage-Fighter, Marksman","Support, Mage-Fighter, Tank","Support, Mage-Mage","Support, Mage-Mage, Assassin","Support, Mage-Mage, Fighter","Support, Mage-Mage, Marksman","Support, Mage-Mage, Support","Support, Mage-Mage, Tank","Support, Mage-Marksman","Support, Mage-Marksman, Assassin","Support, Mage-Support","Support, Mage-Support, Fighter","Support, Mage-Support, Mage","Support, Mage-Support, Tank","Support, Mage-Tank, Fighter","Support, Mage-Tank, Mage","Support, Mage-Tank, Support","Support, Tank-Assassin, Fighter","Support, Tank-Fighter","Support, Tank-Fighter, Assassin","Support, Tank-Fighter, Mage","Support, Tank-Fighter, Tank","Support, Tank-Mage, Fighter","Support, Tank-Marksman","Support, Tank-Tank, Fighter","Support-Assassin, Fighter","Support-Fighter, Mage","Tank, Fighter-Assassin","Tank, Fighter-Assassin, Fighter","Tank, Fighter-Assassin, Mage","Tank, Fighter-Fighter","Tank, Fighter-Fighter, Assassin","Tank, Fighter-Fighter, Mage","Tank, Fighter-Fighter, Marksman","Tank, Fighter-Fighter, Tank","Tank, Fighter-Mage","Tank, Fighter-Mage, Assassin","Tank, Fighter-Mage, Fighter","Tank, Fighter-Mage, Marksman","Tank, Fighter-Mage, Support","Tank, Fighter-Mage, Tank","Tank, Fighter-Marksman","Tank, Fighter-Marksman, Fighter","Tank, Fighter-Marksman, Mage","Tank, Fighter-Marksman, Support","Tank, Fighter-Support","Tank, Fighter-Support, Fighter","Tank, Fighter-Support, Mage","Tank, Fighter-Support, Tank","Tank, Fighter-Tank","Tank, Fighter-Tank, Fighter","Tank, Fighter-Tank, Mage","Tank, Fighter-Tank, Support","Tank, Mage-Assassin, Fighter","Tank, Mage-Assassin, Mage","Tank, Mage-Fighter","Tank, Mage-Fighter, Assassin","Tank, Mage-Fighter, Mage","Tank, Mage-Fighter, Tank","Tank, Mage-Mage","Tank, Mage-Mage, Assassin","Tank, Mage-Mage, Fighter","Tank, Mage-Mage, Marksman","Tank, Mage-Mage, Support","Tank, Mage-Mage, Tank","Tank, Mage-Marksman","Tank, Mage-Marksman, Mage","Tank, Mage-Support","Tank, Mage-Support, Fighter","Tank, Mage-Support, Mage","Tank, Mage-Support, Tank","Tank, Mage-Tank","Tank, Mage-Tank, Fighter","Tank, Mage-Tank, Mage","Tank, Mage-Tank, Support","Tank-Assassin, Fighter","Tank-Assassin, Mage",Tank-Fighter,"Tank-Fighter, Assassin","Tank-Fighter, Mage","Tank-Fighter, Tank","Tank-Mage, Fighter","Tank-Mage, Support",Tank-Marksman,Tank-Support,"Tank-Support, Mage","Tank-Support, Tank","Tank-Tank, Fighter","Tank-Tank, Mage"
"Fighter, Assassin-Marksman, Support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Support",,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Support, Fighter",,,,,,,,100.0,,,,,33.33333333333333,,,,,,100.0,,61.53846153846154,42.857142857142854,0.0,100.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,,,0.0,,,,,,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,100.0,83.33333333333334,,0.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,25.0,,,,,,,,,,,,66.66666666666666,100.0,,,100.0,,,,0.0,,80.0,100.0,,100.0,,60.0,,,,,,,,,,,,,,0.0,,,,100.0,,,,,,,,50.0,0.0,,50.0,,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,0.0,50.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,71.42857142857143,50.0,,66.66666666666666,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Support, Mage",,,,,,,,,100.0,25.0,,,63.63636363636363,,,,,100.0,0.0,62.5,64.70588235294117,0.0,,,,66.66666666666666,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,0.0,,,,,50.0,,,0.0,,100.0,,,0.0,0.0,100.0,50.0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,,,100.0,,,,,0.0,,,,0.0,,,,100.0,,,,66.66666666666666,,,,0.0,,0.0,100.0,,100.0,,0.0,,,,,,,,,,,,,,,100.0,,,60.0,,0.0,,,,,14.285714285714285,57.14285714285714,25.0,,0.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,100.0,,85.71428571428571,,,,,,,66.66666666666666,75.0,66.66666666666666,,,,,,,,,,,,,,,,,25.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,50.0,,,,,,,33.33333333333333,57.14285714285714,,,0.0,,50.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Support, Tank",,,,,,,,100.0,,0.0,,,50.0,,,,,,33.33333333333333,33.33333333333333,66.66666666666666,100.0,,,,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.0,,0.0,,,,,,,33.33333333333333,50.0,50.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,100.0,0.0,100.0,,,,,,,,,,,100.0,50.0,,,,0.0,,,,100.0,50.0,0.0,50.0,,100.0,,100.0,,,,,,,,,,,,,0.0,0.0,,,,100.0,,,,,,,33.33333333333333,33.33333333333333,0.0,,100.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666666666666,66.66666666666666,100.0,,,,75.0,,,,,,,,,,100.0,,,,,,,,,0.0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,66.66666666666666,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Assassin-Tank, Fighter",,0.0,,,,,,,,,,,66.66666666666666,,,,,,,0.0,50.0,0.0,,,,100.0,,,,,,,,,,,,,,,0.0,,,,100.0,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,40.0,,,,,,0.0,,,100.0,,,,,,,,100.0,0.0,,,,,100.0,0.0,,,,,,,0.0,,,,,,,100.0,,,,,,,0.0,,50.0,25.0,100.0,,0.0,,,,,,,,,,,100.0,,,42.857142857142854,,,,,,,,,,,,,,0.0,,,,,50.0,0.0,0.0,,,,100.0,,,,,,,,,,,,,,,,,,66.66666666666666,,,,,,,,,50.0,,100.0,,100.0,100.0,100.0,,,,,,,,,,,33.33333333333333,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,100.0,0.0,,,,,100.0,,,0.0,,,,,,0.0,,,,,0.0,50.0,100.0,,0.0,100.0,50.0,,,,100.0,,,,,,,,,,,0.0,,,100.0,,,,100.0,,100.0,,,,,,50.0,
"Fighter, Assassin-Tank, Mage",,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,100.0,,0.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33333333333333,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,100.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
"Fighter, Assassin-Tank, Support",,,,,,,,,50.0,,,,,,,,,,,,100.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,50.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,100.0,,,,0.0,,,,,100.0,100.0,50.0,100.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33.33333333333333,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,0.0,,,,,,,66.66666666666666,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Mage-Assassin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fighter, Mage-Assassin, Fighter",50.0,0.0,100.0,33.33333333333333,,,,,0.0,,100.0,,0.0,,66.66666666666666,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,100.0,,,,0.0,,,,,,,,,,33.33333333333333,0.0,,,,,,100.0,,50.0,,100.0,,,,,,,,,,100.0,100.0,50.0,25.0,,,,100.0,,50.0,,100.0,,60.0,,,,,,0.0,,,,,,,,,100.0,50.0,,66.66666666666666,,,,,,50.0,,,,,,,100.0,42.857142857142854,,33.33333333333333,66.66666666666666,80.0,,100.0,,,57.14285714285714,,,,87.5,,,,,,,33.33333333333333,,,,,,,0.0,,,50.0,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,100.0,,,0.0,100.0,0.0,,,,100.0,,,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333333333334,0.0,0.0,37.5,,,33.33333333333333,,,66.66666666666666,,100.0,,77.77777777777779,,,,,,33.33333333333333,,,50.0,0.0,,50.0,0.0,50.0,33.33333333333333,100.0,,,,100.0,,50.0,100.0,66.66666666666666,,,,,,,,,,100.0,,0.0,100.0,,100.0,,,50.0,,,,,
"Fighter, Mage-Assassin, Mage",,100.0,,,,,,,50.0,,,,0.0,,50.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,,,0.0,,,100.0,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,50.0,,,100.0,,,,50.0,,,,,,,,,0.0,,,100.0,33.33333333333333,,,,,,80.0,100.0,,100.0,50.0,100.0,100.0,,,,0.0,,,,50.0,,,,,,,,0.0,100.0,,,,,,0.0,100.0,,0.0,0.0,,,,,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,100.0,,100.0,,,,75.0,,100.0,,,,,,,,,,,,100.0,,,,50.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,
